PoliceStation,Year,Type,Date,Time,Latitude,Longitude
Banashankari,2016,Murder,29-07-2016,21:00:00,12.93297,77.58381
Banashankari,2016,Murder,13-11-2016,23:45:00,12.930433,77.549761
Banashankari,2017,Murder,10-05-2017,21:00:00,12.923736,77.58182
Banashankari,2017,Murder,19-07-2017,19:30:00,12.924123,77.576913
Banashankari,2018,Murder,21-06-2018,23:30:00,12.924377,77.582729
Banashankari,2018,Murder,17-07-2018,21:15:00,12.920604,77.520557
Banashankari,2016,Murder,18-06-2016,21:00:00,12.93878218,77.57956109
Banashankari,2017,Murder,02-07-2017,18:30:00,12.9399013,77.57337112
Banashankari,2019,Murder,29-07-2019,18:00:00,12.944557,77.57758
Banashankari,2015,Murder,07-01-2015,06:00:00,12.9076508,77.5951967
Banashankari,2015,Murder,26-01-2015,04:10:00,12.9076508,77.5951967
Banashankari,2015,Murder,08-11-2015,08:00:00,12.9030543,77.5813948
Banashankari,2016,Murder,16-05-2016,07:30:00,12.9036647,77.5785439
Banashankari,2016,Murder,06-09-2016,09:15:00,12.9004589,77.5684636
Banashankari,2016,Murder,11-09-2016,02:50:00,12.909427,77.5706543
Banashankari,2016,Murder,21-11-2016,02:20:00,12.9039655,77.5804308
Banashankari,2018,Murder,01-01-2018,02:00:00,12.9039653,77.5738647
Banashankari,2018,Murder,01-01-2018,02:15:00,12.9124543,77.5737283
Banashankari,2019,Murder,25-08-2019,01:30:00,12.9108342,77.5866704
Banashankari,2019,Murder,25-08-2019,02:30:00,12.9071236,77.583816
Banashankari,2016,Murder,02-12-2016,22:30:00,12.91986,77.56931
Banashankari,2017,Murder,27-11-2017,11:00:00,12.958864,77.638363
Banashankari,2015,Murder,23-07-2015,16:00:00,12.946595,77.59197
Banashankari,2015,Murder,23-12-2015,16:30:00,12.945264,77.59271
Banashankari,2016,Murder,10-04-2016,22:00:00,12.946042,77.593699
Banashankari,2016,Murder,16-05-2016,21:30:00,12.946042,77.593699
Banashankari,2019,Murder,22-06-2019,02:00:00,12.944408,77.593165
Banashankari,2015,Murder,05-02-2015,06:30:00,12.89050892,77.57361002
Banashankari,2015,Murder,09-02-2015,15:00:00,12.90976685,77.55679873
Banashankari,2015,Murder,15-03-2015,16:45:00,12.901082,77.54753806
Banashankari,2015,Murder,26-03-2015,21:45:00,12.86854765,77.5801126
Banashankari,2015,Murder,20-05-2015,09:45:00,12.90958449,77.55159728
Banashankari,2017,Murder,26-02-2017,20:10:00,12.90245473,77.54181407
Banashankari,2017,Murder,12-03-2017,21:00:00,12.88563257,77.5482591
Banashankari,2017,Murder,26-04-2017,23:50:00,12.88948381,77.56232091
Banashankari,2017,Murder,13-10-2017,03:00:00,12.90108207,77.54753806
Banashankari,2018,Murder,12-01-2018,22:30:00,12.9057223,77.53558126
Banashankari,2018,Murder,10-06-2018,03:00:00,12.88289563,77.56647782
Banashankari,2018,Murder,28-09-2018,10:30:00,12.8967726,77.5445644
Banashankari,2019,Murder,08-05-2019,13:00:00,12.91082367,77.54398174
Banashankari,2019,Murder,14-07-2019,21:45:00,12.913512,77.554144
Banashankari,2019,Murder,05-10-2019,17:30:00,12.91084893,77.53745649
Banashankari,2015,Murder,22-02-2015,15:00:00,12.87583,77.511157
Banashankari,2015,Murder,17-03-2015,05:00:00,12.894725,77.542178
Banashankari,2015,Murder,29-03-2015,16:00:00,12.874853,77.554205
Banashankari,2016,Murder,14-01-2016,14:45:00,12.860873,77.520947
Banashankari,2017,Murder,17-01-2017,12:30:00,12.864755,77.528047
Banashankari,2017,Murder,13-04-2017,12:15:00,12.871198,77.536856
Banashankari,2017,Murder,24-04-2017,10:00:00,12.853954,77.553705
Banashankari,2017,Murder,05-08-2017,04:00:00,12.870574,77.571346
Banashankari,2017,Murder,22-08-2017,04:00:00,12.87548,77.535128
Banashankari,2018,Murder,17-01-2018,22:00:00,12.870129,77.556345
Banashankari,2018,Murder,14-07-2018,21:00:00,12.878193,77.535515
Banashankari,2018,Murder,19-09-2018,18:00:00,12.848726,77.572816
Banashankari,2018,Murder,16-10-2018,19:00:00,12.872393,77.557753
Banashankari,2018,Murder,27-10-2018,10:10:00,12.871255,77.56033
Banashankari,2018,Murder,03-11-2018,20:00:00,12.879671,77.54543
Banashankari,2019,Murder,19-08-2019,14:00:00,12.859739,77.562719
Banashankari,2019,Murder,14-10-2019,01:00:00,12.862041,77.563487
Banashankari,2019,Murder,17-11-2019,20:30:00,12.893051,77.543007
Banashankari,2017,Murder,04-03-2017,01:30:00,12.882152,77.565325
Banashankari,2017,Murder,29-07-2017,08:45:00,12.84488,77.583729
Banashankari,2017,Murder,01-11-2017,15:00:00,12.890277,77.57144
Banashankari,2017,Murder,18-11-2017,00:00:00,12.885583,77.57054
Banashankari,2018,Murder,07-09-2018,04:30:00,12.889932,77.57465
Banashankari,2018,Murder,01-10-2018,00:00:00,12.861345,77.579767
Banashankari,2018,Murder,21-11-2018,23:50:00,12.845887,77.583885
Banashankari,2019,Murder,13-06-2019,16:10:00,12.873733,77.579546
Banashankari,2017,Murder,07-05-2017,16:00:00,12.875176,77.57889
Banashankari,2017,Murder,27-08-2017,16:15:00,12.898898,77.576405
Banashankari,2017,Murder,08-10-2017,08:00:00,12.906331,77.59179
Banashankari,2017,Murder,25-11-2017,04:00:00,12.90903,77.58764
Banashankari,2018,Murder,02-05-2018,17:30:00,12.906448,77.587569
Banashankari,2019,Murder,05-08-2019,18:45:00,12.89643,77.578607
Banashankari,2019,Murder,26-11-2019,10:30:00,12.901612,77.586583
Banashankari,2016,Murder,23-06-2016,17:00:00,12.937792,77.537268
Banashankari,2017,Murder,08-01-2017,08:30:00,12.939585,77.544317
Banashankari,2017,Murder,21-04-2017,09:10:00,12.937792,77.537268
Banashankari,2018,Murder,08-04-2018,03:00:00,12.946026,77.544111
Banashankari,2018,Murder,09-07-2018,15:00:00,12.940271,77.542692
Banashankari,2016,Murder,15-04-2016,04:00:00,12.94865677,77.56227641
Banashankari,2017,Murder,07-07-2017,22:00:00,12.94953,77.56316
Banashankari,2017,Murder,14-07-2017,17:00:00,12.94953,77.56316
Banashankari,2015,Murder,15-09-2015,18:30:00,12.96053995,77.57161726
Banashankari,2016,Murder,05-05-2016,17:45:00,12.95608437,77.57561273
Banashankari,2019,Murder,04-12-2019,23:00:00,12.94885,77.55255
Banashankari,2016,Murder,09-04-2016,01:00:00,12.930313,77.554418
Banashankari,2016,Murder,23-06-2016,05:00:00,12.926431,77.544097
Banashankari,2016,Murder,26-06-2016,04:00:00,12.9289,77.554688
Banashankari,2018,Murder,10-03-2018,11:30:00,12.930848,77.562656
Banashankari,2018,Murder,30-09-2018,01:00:00,12.921084,77.540512
Banashankari,2019,Murder,29-04-2019,04:00:00,12.931413,77.566018
Banashankari,2019,Murder,11-09-2019,09:45:00,12.920844,77.543006
Banashankari,2019,Murder,23-09-2019,04:30:00,12.923045,77.541396
Banashankari,2019,Murder,13-11-2019,01:00:00,12.93336,77.550661
Banashankari,2016,AttemptedMurder,10-02-2016,07:00:00,12.971599,77.594563
Banashankari,2016,AttemptedMurder,09-11-2016,13:30:00,12.80642,77.52537
Banashankari,2017,AttemptedMurder,15-01-2017,22:15:00,12.88605,77.494843
Banashankari,2017,AttemptedMurder,21-01-2017,23:50:00,12.921755,77.588346
Banashankari,2017,AttemptedMurder,12-06-2017,07:35:00,12.922076,77.5589539
Banashankari,2018,AttemptedMurder,22-05-2018,18:00:00,12.835635,77.653354
Banashankari,2018,AttemptedMurder,13-08-2018,16:45:00,12.925635,77.583354
Banashankari,2018,AttemptedMurder,30-11-2018,20:00:00,12.28784,76.63313
Banashankari,2018,AttemptedMurder,02-12-2018,16:25:00,12.79642,77.50537
Banashankari,2019,AttemptedMurder,28-04-2019,19:30:00,12.93443,77.592697
Banashankari,2015,AttemptedMurder,01-02-2015,23:15:00,12.943773,77.573418
Banashankari,2015,AttemptedMurder,10-08-2015,10:30:00,12.941212,77.57344
Banashankari,2016,AttemptedMurder,03-05-2017,11:00:00,12.941716,77.573891
Banashankari,2017,AttemptedMurder,11-09-2017,11:30:00,12.941946,77.574073
Banashankari,2017,AttemptedMurder,09-11-2017,00:15:00,12.935305,77.572075
Banashankari,2018,AttemptedMurder,17-05-2018,11:30:00,12.938602,77.575583
Banashankari,2019,AttemptedMurder,19-11-2019,14:30:00,12.942962,77.568212
Banashankari,2015,AttemptedMurder,29-04-2015,04:05:00,12.9071234,77.5772499
Banashankari,2015,AttemptedMurder,11-05-2015,23:46:00,12.9021964,77.5472
Banashankari,2015,AttemptedMurder,02-09-2015,22:50:00,12.9047055,77.5868222
Banashankari,2015,AttemptedMurder,13-10-2015,23:01:00,12.8996863,77.5719224
Banashankari,2015,AttemptedMurder,29-10-2015,08:35:00,12.91655,77.5945793
Banashankari,2015,AttemptedMurder,25-12-2015,21:45:00,12.9165477,77.5617482
Banashankari,2016,AttemptedMurder,04-03-2016,22:01:00,12.9111818,77.5739301
Banashankari,2016,AttemptedMurder,31-03-2016,15:35:00,12.8896959,77.543055
Banashankari,2016,AttemptedMurder,29-08-2016,17:01:00,12.9036647,77.5785439
Banashankari,2016,AttemptedMurder,05-09-2016,11:30:00,12.9423522,77.5027961
Banashankari,2016,AttemptedMurder,20-10-2016,13:15:00,12.909427,77.5706543
Banashankari,2016,AttemptedMurder,22-10-2016,22:45:00,12.9093248,77.5591563
Banashankari,2016,AttemptedMurder,09-12-2016,00:00:00,12.8879049,77.5774295
Banashankari,2017,AttemptedMurder,08-05-2017,22:01:00,12.8879043,77.5621085
Banashankari,2018,AttemptedMurder,27-03-2018,18:20:00,12.8879031,77.5621085
Banashankari,2018,AttemptedMurder,12-06-2018,18:30:00,12.9105665,77.571023
Banashankari,2018,AttemptedMurder,28-08-2018,11:20:00,12.9125802,77.5731949
Banashankari,2019,AttemptedMurder,26-01-2019,18:40:00,12.9125802,77.5731949
Banashankari,2019,AttemptedMurder,28-03-2019,03:00:00,12.9263748,77.5664358
Banashankari,2019,AttemptedMurder,14-04-2019,01:00:00,12.9122435,77.5829634
Banashankari,2019,AttemptedMurder,20-04-2019,17:00:00,12.9204433,77.5663689
Banashankari,2017,AttemptedMurder,03-05-2017,17:00:00,12.87974,77.50031
Banashankari,2017,AttemptedMurder,01-10-2017,06:00:00,12.92957,77.57276
Banashankari,2017,AttemptedMurder,08-11-2017,23:45:00,12.91851,77.58122
Banashankari,2017,AttemptedMurder,09-11-2017,05:00:00,12.87974,77.50031
Banashankari,2018,AttemptedMurder,15-01-2018,18:15:00,12.89066,77.575524
Banashankari,2019,AttemptedMurder,11-03-2019,13:15:00,13.01965,77.60673
Banashankari,2015,AttemptedMurder,22-03-2015,14:30:00,12.944814,77.587996
Banashankari,2015,AttemptedMurder,11-04-2015,14:00:00,12.942789,77.596405
Banashankari,2015,AttemptedMurder,22-07-2015,18:30:00,12.946042,77.593699
Banashankari,2015,AttemptedMurder,06-08-2015,21:00:00,12.93481,77.591525
Banashankari,2015,AttemptedMurder,11-08-2015,00:15:00,12.945283,77.58671
Banashankari,2015,AttemptedMurder,16-08-2015,20:30:00,12.942789,77.596405
Banashankari,2015,AttemptedMurder,03-09-2015,20:00:00,12.934073,77.592244
Banashankari,2015,AttemptedMurder,06-09-2015,20:00:00,12.944485,77.591988
Banashankari,2015,AttemptedMurder,03-10-2015,09:15:00,12.945602,77.588022
Banashankari,2015,AttemptedMurder,17-11-2015,21:00:00,12.946595,77.59197
Banashankari,2016,AttemptedMurder,08-03-2016,13:15:00,12.944814,77.587996
Banashankari,2016,AttemptedMurder,20-03-2016,13:00:00,12.944814,77.587996
Banashankari,2016,AttemptedMurder,26-04-2016,04:00:00,12.942707,77.585262
Banashankari,2017,AttemptedMurder,14-06-2017,04:30:00,12.935847,77.593125
Banashankari,2017,AttemptedMurder,06-07-2017,20:45:00,12.944265,77.593685
Banashankari,2017,AttemptedMurder,19-12-2017,14:00:00,12.945058,77.591578
Banashankari,2018,AttemptedMurder,25-10-2018,10:45:00,12.9446676,77.592128
Banashankari,2018,AttemptedMurder,28-11-2018,17:00:00,12.941015,77.580237
Banashankari,2018,AttemptedMurder,24-12-2018,20:00:00,12.9446676,77.592128
Banashankari,2019,AttemptedMurder,06-01-2019,15:00:00,12.938585,77.58509
Banashankari,2019,AttemptedMurder,18-02-2019,09:45:00,12.946428,77.591183
Banashankari,2019,AttemptedMurder,27-02-2019,13:30:00,12.951431,77.590558
Banashankari,2019,AttemptedMurder,08-04-2019,12:00:00,12.945058,77.591578
Banashankari,2019,AttemptedMurder,07-08-2019,12:00:00,12.946042,77.593699
Banashankari,2019,AttemptedMurder,09-12-2019,21:00:00,12.942008,77.593672
Banashankari,2019,AttemptedMurder,10-12-2019,21:30:00,12.936049,77.592597
Banashankari,2019,AttemptedMurder,22-12-2019,16:30:00,12.943814,77.59715
Banashankari,2015,AttemptedMurder,21-01-2015,12:30:00,12.89062558,77.56405571
Banashankari,2015,AttemptedMurder,30-04-2015,15:00:00,12.89117067,77.5699034
Banashankari,2015,AttemptedMurder,22-05-2015,19:45:00,12.88290759,77.56690606
Banashankari,2016,AttemptedMurder,11-01-2016,21:15:00,12.917986,77.553778
